Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
ROCNormalElf	Normal	Ich spiele normal und baue von Allem etwas
ROCMassHD	Jägerinnen und Dryaden	Ich baue massiv Jägerinnen mit ein paar Dryaden
ROCDruids	Dryaden und Bärchen	Ich baue Dryaden and Bärchen
ROCHippo	Hipporeiterinnen	Ich baue Hipporeiterinnen
ROCBallista	Ballistas	Ich baue Ballistas and Dryaden
ROCTalon	Klauendruiden	Ich baue massiv Klauendruiden
ROCHippoChim	HippoChi	Ich baue Hippos and Schimären
ROCDryadChim	DryadChim	Ich baue Dryaden and Schimären
ROCArcher	Bogenschützen	Ich baue massiv Bogenschützen
ROCDotC	Bären	Ich baue massiv Bären
NormalElf	Normal	Ich spiele normal und baue von Allem etwas
MassHD	Jägerinnen und Dryaden	Ich baue massiv Jägerinnen mit ein paar Dryaden
Druids	Dryaden und Bären	Ich baue Dryaden and Bären
Hippo	Hipporeiterinnen	Ich baue Hipporeiterinnen
Ballista	Ballistas	Ich baue Ballistas and Dryaden
Talon	Klauendruiden	Ich baue massiv Klauendruiden
HippoChim	HippoChi	Ich baue Hippos and Schimären
DryadChim	DryadChim	Ich baue Dryaden and Schimären
NEAntiTower	Anti Tower	I'm massing seige equipment
Archer	Bogenschützen	Ich baue massiv Bogenschützen
DotC	Bärchen	Ich baue massiv Bärchen
MassHuntress	Jägerinnen	Ich baue massiv Jägerinnen
MGDryads	Dryaden und Bergriesen	Ich baue Dryaden und Bergriesen
AoWMix	Einheitenmix aus AoW	Ich mixe Einheiten aus dem AoW
AoLMix	Einheitenmix aus AoL	Ich mixe Einheiten aus dem AoL
ROCNormalHuman	Normal	Ich spiele normal und baue von Allem etwas
ROCMassSp	Zauberer	Ich baue massiv Zauberer
ROCGryph	Greifen	Ich baue Greifenreiter
ROCKnight	Ritter	Ich baue massiv Soldaten und Ritter
ROCRifle	Schützen	Ich baue massiv Schützen
ROCMortars	Mörser-Truppen	Ich baue Mörser-Truppen
ROCCopters	Gyrokopter	Ich baue Gyrokopter
NormalHuman	Normal	Ich spiele normal und baue von Allem etwas
MassSp	Zauberer	Ich baue massiv Zauberer
Gryph	Greifen	Ich baue Greifenreiter
Knight	Ritter	Ich baue massiv Soldaten und Ritter
Rifle	Schützen	Ich baue massiv Schützen
Mortars	Mörser-Truppen	Ich baue Mörser-Truppen
Copters	Gyrokopter	Ich baue Gyrokopter
MassSB	Zauberbrecher	Ich baue massiv Zauberbrecher
Dragonhawk	Drachenfalkenreiter	Ich baue massiv Drachenfalkenreiter
BarrackMix	Einheitenmix aus Kaserne	Ich mixe Einheiten aus der Kaserne
SanctumMix	Einheitenmix aus Sanktum	Ich mixe Einheiten aus dem Sanktum
HAntiTower	Anti Türme	Ich baue massiv Belagerungswaffen
VersusOrc	Zauberinnen	Ich baue massiv Zauberinnen
ROCNormalOrc	Normal	Ich baue Grunzer und Zauberer
ROCFastSh	Schamanen und Tauren	Ich baue Schamanen und Tauren
ROCKodo	Kodo	Ich baue massiv Kodo-Bestien
ROCWyvSh	Schamanen und Wyverns	Ich baue Schamanen und Wyverns
ROCHHunters	Kopfjäger	Ich baue massiv Kopfjäger
ROCRaiders	Räuber	Ich baue massiv Räuber
ROCCatapults	Katapulte	Ich baue Grunzer und Katapulte
ROCHeadCatapults	Kopfjäger und Katapulte	Ich baue Kopfjäger und Katapulte
NormalOrc	Normal	Ich baue Grunzer und Zauberer
FastSh	Schamanen und Tauren	Ich baue Schamanen und Tauren
WyvSh	Schamanen und Wyverns	Ich baue Schamanen und Wyverns
HHunters	Kopfjäger	Ich baue massiv Kopfjäger
Raiders	Räuber	Ich baue massiv Räuber
GruntCatapults	Grunzer und Katapulte	Ich baue Grunzer und Katapulte
HeadCatapults	Kopfjäger und Katapulte	Ich baue Kopfjäger und Katapulte
Wyvern	Windreiter	Ich baue massiv Windreiter
BarrackMix	Einheitenmix aus Kaserne	Ich mixe Einheiten aus der Kaserne
BestiaryMix	Einheitenmix aus Bestiarium	Ich mixe Einheiten aus dem Bestiarium
AntiPierce	Nahkampf	Ich baue Nahkampfeinheiten und Räuber
AntiAir	Fledermausreiter	Ich baue massiv Fledermausreiter
OAntiTower	Anti Tärme	Ich baue massiv Belagerungswaffen
VersusHuman	Räuber und Geistläufer	Ich baue Räuber und Geisterläufer
VersusUndead	Grunzer und Bestiarium	Ich baue Grunzer und mixe Einheiten aus dem Bestiarium
VersusElf	Räuber und Verwüster	Ich baue Räuber und Verwüster
ROCNormalUndead	Normal	Ich spiele normal und baue von Allem etwas
ROCWyrms	Wyrms	Ich versuche einen Wyrmrush mit ein paar Gruftbestien
ROCBanshee	Banshees	Ich baue hauptsächlich Banshees
ROCNecro	Totenbeschwörer	Ich baue Totenbeschwörer
ROCGhouls	Ghoule	Ich baue massiv Ghoule
ROCFiends	Gruftbestien	Ich baue massiv Gruftbestien
ROCGargWyrm	Gargoyles and Wyrms	Ich baue Gargoyles and Wyrms
ROCAboms	Monstrositäten	Ich baue massiv Monstrositäten
ROCMeatFiends	Fleischwagen und Gruftbestien	Ich baue Gruftbestien und Fleischwagen
MassDestroyer	Zerstörer	Ich baue massiv Zerstörer
NormalUndead	Normal	Ich spiele normal und baue von Allem etwas
Wyrms	Wyrms	Ich versuche einen Wyrmrush mit ein paar Gruftbestien
Banshee	Banshees	Ich baue hauptsächlich Banshees
Necro	Totenbeschwörer	Ich baue Totenbeschwörer
Ghouls	Ghoule	Ich baue massiv Ghoule
Fiends	Gruftbestien	Ich baue massiv Gruftbestien
GargWyrm	Gargoyles and Wyrms	Ich baue Gargoyles and Wyrms
Aboms	Monstrositäten	Ich baue massiv Monstrositäten
MeatFiends	Fleischwagen und Gruftbestien	Ich baue Gruftbestien und Fleischwagen
MassDestroyer	Zerstörer	Ich baue massiv Zerstörer
CryptMix	Einheitenmix aus Gruft	Ich mixe Einheiten aus der Gruft
TempleMix	Einheitenmix aus Tempel	Ich mixe Einheiten aus dem Tempel der Verdammten
UAntiTower	Anti Türme	Ich baue massiv Belagerungswaffen
airair	Luft-Luft	Ich baue Luft-Luft-Einheiten
airground	Luft-Boden	Ich baue Luft-Boden-Einheiten
groundair	Boden-Luft	Ich baue Boden-Luft-Einheiten
