Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
NormalElf	常�	我打算使用暗夜常规打?
MassH	猎手猛禽德鲁?	我打算暴猎手加少部分猛禽德鲁?
Druids	猛禽德鲁依利爪德鲁依	我打算使用双德鲁依打?
Hippo	角鹰骑士	我准备出角鹰骑士?
Ballista	弩车	我将出弩车配猛禽德鲁依战?
Talon	猛禽德鲁?	我要暴猛禽德鲁依?
HippoChim	角鹰奇美?	我要出角鹰和奇美拉了
DryadChim	猛禽德鲁依奇美拉	我准备出奇美拉加猛禽德鲁?
Archer	弓箭?	我准备暴弓箭手了
DotC	熊德	我准备暴熊德?
NormalHuman	常规	我打算使用人族常规打?
MassSp	破法?	我准备暴破法者了
Gryph	狮鹫	我要暴狮鹫了
Knight	骑士	我准备出骑士配步兵了
Rifle	火枪	我要暴火枪海?
Mortars	迫击?	我要训练迫击炮小队了
Copters	直升?	我要生产直升机大队了
NormalOrc	常�	我打算使用常规打?
FastSh	撒蛮巫医	我要使用撒巫组合?
Kodo	珂多?	我要暴珂多兽?
WyvSh	撒蛮双足飞龙	我打算出撒蛮和双足飞?
HHunters	猎头?	我开始暴猎头?
Raiders	狼骑	下一步我要出狼骑?
Catapults	步兵毁灭?	我准备用步兵配毁灭?
HeadCatapults	猎头毁灭?	我准备出猎头加毁灭?
NormalUndead	常规	我打算使用不死的常规战术
Wyrms	冰龙	我打算出蜘蛛再加上几只冰龙，你觉得怎么?
Banshee	女妖	我打算暴女妖
Necro	巫师	我打算暴巫师
Ghouls	狂狗	我要暴狂狗了
Fiends	蜘蛛	我打算使用蜘蛛流
GargWyrm	石像鬼冰?	我准备出石像和冰龙了，恐怖吧
Aboms	憎恶	我出胖子了啊
MeatFiends	搅肉车蜘?	我打算出搅肉车和蜘蛛
airair	空对?	我准备生产空对空单位?
airground	空对?	我打算生产空对地单位?
groundair	地对?	我打算生产地对空单位?
groundground	地对?	我打算生产地对地单位?
farm	农场	我要建农场了
guard	�	我要造箭塔了
