To be translated	Translation
ORC	Orco
ORC:s	Orcos
ORC:UBER	Los brutales y fuertes orcos
HUMAN	Humano
HUMAN:s	Humanos
HUMAN:UBER	La alianza de humanos, elfos y enanos
UNDEAD	Muerto viviente
UNDEAD:s	Muertos vivientes
UNDEAD:UBER	Los invencibles muertos vivientes
NIGHTELF	Elfo nocturno
NIGHTELF:s	Elfos nocturnos
NIGHTELF:UBER	Los inmortales elfos nocturnos
small	pequeño
medium	mediano
large	grande
small:s	pequeños
medium:s	medianos
large:s	grandes
Red	rojo
Red:s	rojos
Blue	azúl
Blue:s	azules
Teal	verde agua
Teal:s	verde agua
Purple	púrpura
Purple:s	púrpuras
Yellow	amarillo
Yellow:s	amarillos
Orange	naranja
Orange:s	naranjas
Green	verde
Green:s	verdes
Pink	rosa
Pink:s	rosados
Light Gray	gris
Light Gray:s	grises
Light Blue	Azúl claro
Light Blue:s	Azúl claro
Aqua	Verde oscuro
Aqua:s	Verde oscuro
Brown	Café
Brown:s	Cafés
