Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
ROCNormalElf	Normal	Jag spelar som vanligt och bygger lite av varje
ROCMassHD	Hunts och Dryads	Jag bygger huntress och ett par dryads
ROCDruids	Dryads och DotC	Jag skaffar dryads och DotC
ROCHippo	Hippo Riders	Jag bygger hippo riders
ROCBallista	Ballista	Jag skaffar ballista och dryads
ROCTalon	Talon	Jag bygger massa DotT
ROCHippoChim	HippoChim	Jag bygger hippos och chimaeras
ROCDryadChim	DryadChim	Jag skaffar dryads och chimaeras
ROCArcher	Archers	Jag bygger mass archers
ROCDotC	DotC	Jag bygger mass DotC
NormalElf	Normal	Jag spelar som vanligt och bygger lite av varje
MassHD	Hunts och Dryads	Jag bygger huntress och ett par dryads
Druids	Dryads och DotC	Jag skaffar dryads och DotC
Hippo	Hippo Riders	Jag bygger hippo riders
Ballista	Ballista	Jag skaffar ballista och dryads
Talon	Talon	Jag bygger massa DotT
HippoChim	HippoChim	Jag bygger hippos och chimaeras
DryadChim	DryadChim	Jag skaffar dryads och chimaeras
Archer	Archers	Jag bygger mass archers
DotC	DotC	Jag bygger mass DotC
MassHuntress	MassHunts	Jag bygger massvis med huntress
MGDryads	MGDryads	Jag bygger mountain giants och dryader
AoWMix	AoWMix	Jag mixar enheter från ancient of war
AoLMix	AoLMix	Jag mixar enheter från ancient of lore och ancient of wind
NEAntiTower	Anti Torn	Jag massar siege
ROCNormalHuman	Normal	Jag spelar vanligt och bygger lite av varje
ROCMassSp	Casters	Jag massar casters
ROCGryph	Gryphon	Jag bygger massa gryphons
ROCKnight	Knights	Jag skaffar footmen och knights
ROCRifle	Rifle	Jag kör massa riflemen
ROCMortars	Mortars	Jag skaffar mortars och riflemen
ROCCopters	Copters	Jag massar flygmaskiner
NormalHuman	Normal	Jag spelar vanligt och bygger lite av varje
MassSp	Casters	Jag massar casters
Gryph	Gryphon	Jag bygger massa gryphons
Knight	Knights	Jag skaffar footmen och knights
Rifle	Rifle	Jag kör massa riflemen
Mortars	Mortars	Jag skaffar mortars och riflemen
Copters	Copters	Jag massar flygmaskiner
MassSB	MassSpellBreakers	Jag bygger massvis med spell breakers
Dragonhawks	Dragonhawks	Jag bygger massa dragonhawks
BarrackMix	BarrackMix	Jag mixar enheter från barrack och workshop
SanctumMix	SanctumMix	Jag mizar enheter från sanctum och aviary
HAntiTower	Anti Torn	Jag massar siege
VersusOrc	Mass Sorceress	Jag bygger massa sorceress
ROCNormalOrc	Normal	Jag skaffar grunts och casters
ROCFastSh	Shamans och Taurens	Jag skaffar shamans och taurens
ROCKodo	Kodo	Jag bygger massa kodo-beast
ROCWyvSh	Shamans och Wyverns	Jag bygger shamans och wyverns
ROCHHunters	Head Hunters	Jag bygger massa head hunters
ROCRaiders	Raiders	Jag kör massa raiders
ROCCatapults	Grunts och Katapulter	Jag bygger grunts och katapulter
ROCHeadCatapults	Head Hunters och Katapulter	Jag skaffar headhunters och katapulter
NormalOrc	Normal	Jag skaffar grunts och casters
FastSh	Shamans och Taurens	Jag skaffar shamans och taurens
WyvSh	Shamans och Wyverns	Jag bygger shamans och wyverns
HHunters	Head Hunters	Jag bygger massa head hunters
Raiders	Raiders	Jag kör massa raiders
GruntCatapults	Grunts och Katapulter	Jag bygger grunts och katapulter
HeadCatapults	Head hunters och Katapulter	Jag skaffar head hunters och katapulter
Wyverns	Wyverns	Jag bygger massa wyverns
BarrackMix	BarrackMix	Jag mixar enheter från barrack
BestiaryMix	BestiaryMix	Jag mixar enheter från bestiary
AntiPierce	Anti Pierce	Jag skaffar melee och raiders
AntiAir	Batriders	Jag massar bats
OAntiTower	Anti Torn	Jag massar siege
VersusHuman	Raiders and Spirtwalkers	Jag kör på raiders och spirit walkers
VersusUndead	Grunts and Beastiary	Jag kör grunts och lite blandat från beastiary
VersusElf	Raiders and Demolishers	Jag kör raiders och demolishers
ROCNormalUndead	Normal	Jag spelar som vanligt och bygger lite av varje
ROCWyrms	Wyrms	Jag bygger wyrms och crypt fiends
ROCBanshee	Banshees	Jag skaffar banshees
ROCNecro	Necros	Jag bygger necromancers
ROCGhouls	Ghouls	Jag kör massa ghouls
ROCFiends	Fiends	Jag bygger massa crypt fiends
ROCGargWyrm	Gargoyles och Wyrms	Jag bygger gargs och wyrms
ROCAboms	Aboms	Jag skaffar massa abominations
ROCMeatFiends	Meat wagons och Fiends	Jag bygger fiends och meat wagons
NormalUndead	Normal	Jag spelar som vanligt och bygger lite av varje
Wyrms	Wyrms	Jag bygger wyrms och crypt fiends
Banshee	Banshees	Jag skaffar banshees
Necro	Necros	Jag bygger necromancers
Ghouls	Ghouls	Jag kör massa ghouls
Fiends	Fiends	Jag bygger massa crypt fiends
GargWyrm	Gargoyles och Wyrms	Jag bygger gargs och wyrms
Aboms	Aboms	Jag skaffar massa abominations
MeatFiends	Meat wagons och Fiends	Jag bygger fiends och meat wagons
MassDestroyer	MassDestroyers	Jag bygger massa destroyers
CryptMix	CryptMix	Jag mixar enheter fråb crypt
TempleMix	TempleMix	Jag mixar enheter från temple och slaughter house
UAntiTower	Anti Torn	Jag massar siege
airair	Luft-Luft	Jag bygger luft- mot luftenheter
airground	Luft-Mark	Jag bygger luft- mot markenheter
groundair	Mark-Luft	Jag bygger mark- mot luftenheter
groundground	Mark-Mark	Jag bygger mark- mot markenheter
farm	Farms	Jag bygger farms
guard	Torn	Jag bygger torn
